"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1059","","many","great","storylines","basketball","","teams","excited","","","long","time","","bulls","luka","","hornets","lakers","bucks","miami","hawks","knicks","good","much","going","epic","","","","","",""
"1060","","","leading","","candidate","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1061","bron","seasons","could’ve","unanimous","","","","","","","","","","","record","","team","defense","","first","team","dpoy","runner","","","","","","","","",""
"1062","","dude","","move","blackballed","iverson","rodman","carmelo","","forbidd","kobe","","","bcause","rape","case","forbidd","magic","play","even","susppended","cash","golden","cowe","jordan","","good","luck","playing","australia","turkey","next"
"1063","year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1064","","want","accolades","","zero","argument","","overcome","someone","since","","improved","player","dpoy","star","","","mvps","finals","","","that’s","just","awards","titles","","","","","","",""
"1065","greatest","","","peaks","","ring","scoring","titles","total","stats","","breakers","descending","order","ewing","admiral","russ","harden","timmy","dirk","zeke","dwade","hakeem","","steph","","iverson","shaq","magic","kobe","lebron","moses"
"1066","legend","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1067","rsandns","hoopshype","","just","saying","judging","","teams","","voting","unfair","situations","also","wilt","talent","","","","","","","","","","","","","","","","",""
"1068","rsandns","hoopshype","","players","voted","","magics","rookie","year","take","less","seriously","","","","","","","","","","","","","","","","","","","",""
"1069","rsandns","hoopshype","","narrative","driven","else","explain","kobe","clearly","","","time","shaq","left","hurt","achillies","","","","","","","","","","","","","","","",""
"1070","","champ","lakers","","team","bulls","","beal","","","","","","","","","","","","","","","","","","","","","","","",""
"1071","","five","","","odds","according","","","","luka","doncic","giannis","","joel","embiid","kevin","durant","stephen","curry","","","","","","","","","","","","",""
"1072","","teams","changing","games","shut","piss","poor","","career","points","rebounds","assists","","game","","titles","league","","four","finals","mvps","need","better","game","planning","","","","","","",""
"1073","","","giannis","","regular","season","","finals","","back","back","rings","","","player","time","","season","","","","","","","","","","","","","",""
"1074","","speaking","luka","predicting","luka","","year's","","","season","never","seen","year","","","","","","","","","","","","","","","","","","",""
"1075","likes","giannis","","","","season","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1076","legodjamez","espn","good","literally","retire","someone","else","","ring","think","lebron","","respect","finals","finals","","","","","","","","","","","","","","","","",""
"1077","","","overtime","","","lmao","","convo","","hurt","still","averaged","","","","","","","","","","","","","","","","","","","",""
"1078","_marccarter","harden","","","champion","finals","","","wade","","","","","","","","","","","","","","","","","","","","","","",""
"1079","derrick","rose","gets","high","praise","nick","anderson","derrick","rose","might","derrick","rose","","","","","still","derrick","rose","love","","there’s","enough","good","things","","","","rose","","ballysports",""
"1080","","fttcwwyyin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1081","shaq","first","years","wade","time","","first","team","runner","season","","","shot","","years","exactly","","","","","","","","","","","","","","","",""
"1082","might","even","","take","really","think","giannis","","third","","","average","","first","time","career","season","despite","lingering","knee","pain","giannis","looks","absolutely","incredible","physically","mentally","","","","",""
"1083","","picks","","","season","anthony","davis","luka","doncic","giannis","","","","","","","","","","","","","","","","","","","","","",""
"1084","","nypost","","time","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1085","link","mirinfader","book","giannis","talking","tonight","broadcast","","","","","","","","","","","","","","","","","","","","","","","","",""
"1086","","","think","","make","","season","","give","trophy","","season","","take","seriously","","","","","","","","","","","","","","","","",""
"1087","","game","told","","going","","","remember","bill","russell","telling","story","","star","coverage","phoenix","ahmad","rashad","cwebb","gary","payton","steve","smith","hilarious","story","told","","","","","",""
"1088","","anti","foul","hunting","rule","best","rule","","made","long","time","also","doubt","james","harden","","candidate","year","","","","","","","","","","","","","",""
"1089","","season","predictions","","dame","","","","oanunoby","","","","","spoeltra","coachspo","","","","","","","","","","","","","","","","",""
"1090","dwyane","wade’s","historic","","finals","","","","","","","finals","","","","miami","heat","first","ever","","","averaged","","final","games","","","","","","",""
"1091","","season","awards","","luka","doncic","","","anunoby","","jordan","clarkson","dpoy","rudy","gobert","roty","jalen","green","coach","year","monty","williams","billy","donovan","","","","","","","",""
"1092","","futures","","devin","booker","jayson","tatum","","morant","bradley","beal","","deaaron","","anthony","edwards","","davion","mitchell","","","johnson","","futures","","","","","","","",""
"1093","","awards","predictions","","giannis","","","jordan","poole","","tyler","herro","dpoy","anthony","davis","roty","cade","cunningham","coty","billy","donovan","","","","","","","","","","",""
"1094","","j_unmasked","","","harden","","multiple","time","","star","player","records","outstanding","legend","dont","blind","hate","casual","kobe","definitely","better","said","harden","better","playmaker","true","weirdo","","","","",""
"1095","","j_unmasked","","","literally","none","said","false","harden","better","playmaker","passer","harden","","multiple","","star","selections","multiple","records","basically","","player","time","youre","weird","","","","","",""
"1096","","resume","","star","","","","champion","","finals","","","rookie","first","team","consecutive","seasons","","","","","","","","","","","","","","",""
"1097","","resume","","star","","","","champion","","finals","","","rookie","","team","consecutive","seasons","","","","","","","","","","","","","","",""
"1098","october","","angeles","lakers","tied","boston's","","record","","","franchise","history","lebron","james","became","","player","","finals","","different","teams","","sports","history","oldest","triple","double","","finals","history",""
"1099","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100","","dumars","followed","","","performance","including","consecutive","points","","finals","dumars","went","","finals","","pistons","swept","lakers","","","vrtlsuzofl","","","","","","","","","",""
"1101","jerry","west","averaged","","","","total","career","averaged","true","shooting","percentage","","finals","","player","","history","finals","","playing","losing","team","","clutch","","","kxyyqzlcfl","","","",""
"1102","farbod_e","firmly","believe","paul","george","either","","","lead","","scoring","least","best","year","","","","","","","","","","","","","","","","","",""
"1103","fmaddennba","","still","focused","thon’s","","potential","","","","","","","","","","","","","","","","","","","","","","","","",""
"1104","elijah","bryant","taking","corner","threes","warm","","former","","","giannis","","practices","free","throws","","","","","","","","","","","","","","","","",""
"1105","would’ve","","finals","","came","back","last","year","","form","like","embiid","folk","forget","year","","folk","debating","","","","maaaad","people","saying","","","embiid","","came","back","","form"
"1106","imagine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1107","blows","mind","people","make","greatest","","players","time","lists","times","hakeem","olajuwon","always","missing","lists","case","need","reminder","","champion","","finals","","","","","star","nbatwitter","","","",""
"1108","maalthagod","star","","","","team","defense","","team","season","","","","","","","","","","","","","","","","","","","","","",""
"1109","devinbook","dark","horse","","dbook","","","","ysdwwykbtk","","","","","","","","","","","","","","","","","","","","","","",""
"1110","","derrick","rose","","","player","","today’s","","","","","","","","","","","","","","","","","","","","","","","",""
"1111","drose","tough","childhood","south","side","chicago","eventually","became","","","earned","lucrative","amount","money","knicks","","","","","","","","","","","","","","","","",""
"1112","","time","","","buried","dramatic","preseason","headlines","ready","roll","toward","another","","","","","","","","","","","","","","","","","","","",""
"1113","","feel","free","argue","harden","moses","moses","","","finals","","conference","finals","harden","","conference","finals","","harden","better","teammates","","","","","","","","","","",""
"1114","","plus","moses","mvps","","finals","conference","finals","harden","","conference","finals","","","","","","","","","","","","","","","","","","","",""
"1115","ebflesruoy","","kameron_hay","","scoring","champ","former","","","","","winning","chip","devalue","seriously","think","please","answer","without","hating","","","","","","","","","","","",""
"1116","","start","time","","champ","","time","finals","","","","","","","","","","","","","","","","","","","","","","","",""
"1117","billthegamr","azurengames","already","accompanied","everything","league","offer","carried","bron","","star","","star","game","","","second","team","","rookie","year","","","","","","","","","","",""
"1118","nevapoppin","kayakinqc","thetyjager","many","","many","levels","","came","late","still","","best","","","history","choice","tony","elite","","many","years","finals","","","time","unstoppable","basically","trying","","",""
"1119","potrntial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1120","nickashooh","believes","kevin","durant","lead","","scoring","worth","look","","ever","","","","","","","","","","","","","","","","","","","","",""
"1121","","funny","","","around","player","","scoring","talking","espnnba","funny","play","defense","","","","","","","","","","","","","","","","","","",""
"1122","","","season","player","alot","help","","","","superstars","team","","","","","","","","","","","","","","","","","","","","",""
"1123","","nylewinston","","snynets","","","finals","","dpoy","","awards","","","","","","","","","","","","","","","","","","","","",""
"1124","battle","serbs","tonight","exciting","","player","","reining","","poku","","joker","","","","","","","","","","","","","","","","","","","",""
"1125","","morant","","","","know","needed","make","","","morant's","comparable","players","","rose","","year","morant","currently","wynnbet","","","","","","","","","","","",""
"1126","chasenscott","actual","pick","durant","especially","splits","kyrie","doesn’t","play","morant","intriguing","","","","","","","","","","","","","","","","","","","","",""
"1127","undisputed","","teams","","","westbrook","scores","trip","","","","russ","teammate","","","","","","","","scoring","titles","harden","","","","career","high","scoring","beal","nearly",""
"1128","scoring","title","lebron","","","","truss","russ","","","","","","","","","","","","","","","","","","","","","","","",""
"1129","","","okay","melo","","gold","medalist","","points","scored","ever","ncaa","champion","dwade","fucking","finals","","gold","medalist","","","champion","","actually","close","","","overrated","","","",""
"1130","kyrie","irving","offseason","","","good","","freedom","still","alive","","","","","","","","","","","","","","","","","","","","","",""
"1131","emfragoso","","","mosesbrown_","dallasmavs","bron","","","voting","injury","","","","","","","","","","","","","","","","","","","","","",""
"1132","","predictions","year","","giannis","dpoy","giannis","","cade","cunningham","","","carmelo","anthony","improved","mikal","bridges","first","time","star","jerami","grant","","","","","","","","","",""
"1133","dallasmavs","playing","hornets","tonight","","","league","","year","bring","title","dallas","earlycall","","","mavs","","","","","","","","","","","","","","","",""
"1134","right","never","forget","competitors","team","","fuel","fire","like","","presented","","trophy","david","robinson","spurs","played","rockets","playoffs","","mistake","","antonio","","","","","","","","",""
"1135","","","right","aren’t","level","they’re","superior","teammates","","title","rings","","lakers","hopefully","melo","follows","path","","forever","winner","","mcadoo","time","star","","","coming","thelakers","","","",""
"1136","official","","awards","prediction","","luka","doncic","dpoy","giannis","","","jordan","poole","roty","jalen","green","","champions","brooklyn","nets","fmvp","kevin","durant","","","","","","","","",""
"1137","","","sixers","","keep","mind","portland","","head","coach","chauncey","billups","","finals","","point","guard","probably","","best","","simmons","point","guard","","","","","","","",""
"1138","","","disagree","warriors","","","finals","winning","finals","","besides","","vote","finals","","anymore","","","","","","","","","","","","","","","",""
"1139","dwight","made","","ecfs","","","final","","","voting","","year","considered","","player","","point","career","multiple","dpoy","easily","dwight","","","","","","","","","",""
"1140","kyrieirving","real","","","letting","aganda","propaganda","control","regime","take","voice","voiceless","","","","","","","","","","","","","","","","","","","",""
"1141","","","snynets","","just","called","reigning","","finals","","champion","choker","","","","","","","","","","","","","","","","","","","",""
"1142","leave","work","leave","playlist","","games","issi","leave","time","","back","time","meaning","commonly","getting","","chants","walk","door","","","","","","","","","","","","",""
"1143","final","","award","predictions","","joel","embiid","roty","jalen","green","dpoy","rudy","gobert","","tyrese","maxey","","simmons","sixers","still","jordan","clarkson","","lonzo","ball","coty","steve","kerr","","","",""
"1144","","instagram","strikes","dark","house","","polls","","","","","","","","","","","","","","","","","","","","","","","","",""
"1145","drose","tough","childhood","south","side","chicago","eventually","became","","","earned","lucrative","amount","money","knicks","","","","","","","","","","","","","","","","",""
"1146","","","","","point","center","cunane","","yeah","something","like","just","want","bring","ball","court","like","look","cool","like","make","first","pass","offense","like","candace","yeah","yeah","","","",""
"1147","staff","writers","picks","","player","awards","","","","biburoiqkp","rookie","year","","","","improved","","","","defensive","player","","","sixth","","","","","","","leannxpoka",""
"1148","","","picks","season","read","","","know","","taking","whether","","picked","","","","","","","","","","","","","","","","","","",""
"1149","picks","","awards","","place","","","","biburoiqkp","rookie","year","","","","improved","","","","defensive","player","","","sixth","","","","","","","","",""
"1150","jordan","clarkson","enters","season","favorite","winning","last","season","there’s","guys","across","","like","","","","year","olympic","star","former","","","","covered","","","","","","","",""
"1151","","champion","","york","knicks","","james","bouknight","","luka","doncic","dpoy","rudy","gobert","","","","","","","","","","","","","","","","","",""
"1152","paul","pierce","years","","","times","star","","champion","","finals","happy","birthday","champ","nbaallstar","bleedgreen","","","","","","","","","","","","","","","",""
"1153","big_mugs","thomascdee","ewing","never","","","made","","first","team","","time","","killer","","","","","","","","","","","","","","","","","",""
"1154","","strawpoll","market","handle","spoke","likely","voters","asked","three","players","expect","","","year’s","","talked","bookmakers","money","","","","","","","","","","","","","",""
"1155","icymi","strawpoll","likely","voters","preseason","","","results","surprised","little","","","","","","","","","","","","","","","","","","","","","",""
"1156","strawpoll","preseason","","","brought","results","wasn’t","expecting","","","","","","","","","","","","","","","","","","","","","","","",""
"1157","","","season","","","move","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1158","","underrated","greats","","history","finally","worthy","teammates","around","owned","kobebryant","kingjames","","","ring","finals","","","","","","","","","","","","","","","",""
"1159","derrick","rose","youngest","","","history","single","handedly","brought","ring","back","madison","square","garden","","","","","","","","","","","","","","","","","",""
"1160","fiba","celtics","kuhoops","fibawc","","fiba","","","","","","star","","three","point","","retired","celtics","kuhoops","fibawc","","","scorer","","happy","birthday","","truth","","","",""
"1161","","greek","freak","becoming","global","icon","","","time","","winner","five","time","star","","","champion","giannis","","remarkable","rise","","","born","athens","nigerian","","","aocsxjwgfn","","",""
"1162","charles","barkley","says","deserved","","","michael","jordan","didn’t","deserve","best","record","","michael","know","better","","","","","","","","","","","","","","","",""
"1163","giannis","","last","months","","","finals","","","","largest","contract","ever","dpoy","","","","","jvohitwmsf","","","","","","","","","","","","",""
"1164","interesting","","race","","history","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1165","magic","johnson","kareem","abdul","jabbar","youngest","oldest","finals","","","history","","","","","","","","","","","","","","","","","","","","",""
"1166","","","","dpoy","roty","coty","","teams","defensive","teams","","","","","","","","","","","","","","","","","","","","","",""
"1167","","bombogoon","finals","","","teams","time","star","certainly","worthy","ranked","","","","","","","","","","","","","","","","","","","","",""
"1168","","asaprowen","","looking","feel","something","fear","celebrated","singer","songwriter","","","finals","","adele","drops","single","friday","single","also","teaser","","much","anticipated","album","releasing","november","","","light","","tunnel"
"1169","orlando","magic","signed","devin","cannady","devastating","injury","last","season","feature","nbagleague","finals","","case","missed","","","league","finals","","devin","cannady","remains","focused","bigger","goals","","","","","",""
"1170","cebl","","","xavier","moon","signed","agua","caliente","clippers","","","league","","opinion","league","fucked","","","","","","","","","","","","","","","",""
"1171","","rose","worst","","","history","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1172","years","","","","finals","","going","nowhere","","","","","","","","","","","","","","","","","","","","","","","",""
"1173","bangoburner","jruedpoy","russ","","star","","triple","doubles","come","dont","cappin","","","","","","","","","","","","","","","","","","","","",""
"1174","nba_ukfans","","","nets","","suns","","nets","worst","record","","","harden","roty","cunningham","dpoy","","simmons","","","","clarkson","coty","donovan","entries","jack","","","","","",""
"1175","jimmybob_jr","yaboidubc","","","love","","","voting","","team","","","","","","","","","","","","","","","","","","","","","",""
"1176","facts","right","know","committee","picks","","","","every","year","right","shooter","better","floor","general","giannis","","everything","harden","","score","","","","","","","","","","",""
"1177","__jeremyg__","","","wait","never","gonna","grow","player","","season","impressive","also","know","","three","","players","past","year","receive","votes","","","dpoy","guess","doesn’t","matter","","","","",""
"1178","rsandns","hoopshype","ever","","","finals","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1179","","bmeiselas","magic","diagnosed","","positive","physical","prior","season","announced","retirement","","start","season","even","fans","voted","start","","star","game","named","","points","assists","rebounds","","","","","",""
"1180","steph","curry","","","","award","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1181","magic","finals","","rookie","year","bird","legit","leaders","squads","early","careers","saved","","wanna","talk","value","mean","","","better","","","","","","","","","","","",""
"1182","","","predictions","","going","right","","season","","champion","________","roy_______","mvp_______","","","","","","","","","","","","","","","","","","",""
"1183","","havlicek","","titles","time","defense","allstar","teams","","finals","","","leading","scorer","team","history","always","covered","best","guard","small","forward","team","","","","","","","","",""
"1184","","","","harden","rockets","","","arguable","shoulda","","","","first","team","","","third","team","","assists","leader","","scoring","champion","","call","even","moses","definitely","stronger","defensively","fairly"
"1185","evenly","matched","overall","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1186","","futures","","fading","heat","mavs","nets","bulls","hawks","knicks","totals","","","dpoy","","","finals","picks","long","shots","lunch","money","picks","","","","read","","","","watch",""
"1187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1188","check","national","champ","mistercbooz","yesterday","case","forgot","national","champ","american","","tourney","","","","star","","selection","olympic","gold","medal","winner","","","","","","","","","",""
"1189","resockets","","moses","rockets","","","","","first","team","","","","team","","","defensive","","team","","league","rebounding","","close","still","give","","malone","","","",""
"1190","","","","early","predictions","","dmvp","","","finals","teams","winner","fmvp","retweet","broader","audience","","","","","","","","","","","","","","","",""
"1191","","champion","predictions","","champions","","angeles","lakers","finals","","anthony","davis","","","","","","","","","","","","","","","","","","","",""
"1192","","award","predictions","","stephen","curry","dpoy","giannis","","","michael","porter","","","jalen","green","","tyler","herro","","erik","spoelstra","","","riley","","","","","","",""
"1193","bold","","predictions","","anthony","davis","roty","jalen","green","usage","rate","","","healthy","dpoy","","biased","","","","rose","coty","spoelstra","bold","prediction","heat","make","back","east","finals","prolly",""
"1194","prediction","","season","","james","harden","dpoy","","adebayo","coty","","udoka","","josh","giddey","scottie","barnes","","jaren","jackson","","","terance","mann","","","","","","","",""
"1195","happy","birthday","","","truth","","champ","finals","","","star","","truth","nickname","given","shaq","lakers","victory","celtics","pierce","scored","points","shooting","","","","","","","","",""
"1196","","draft","","","rookie","year","fantasy","awards","predictions","","","","free","trial","","","xuienlemgi","","","","","","","","","","","","","","",""
"1197","","stephen","curry","getting","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1198","","awards","predictions","","luka","doncic","dpoy","","adebayo","","","dennis","schroder","","keldon","johnson","roty","jalen","green","coty","steve","kerr","","","","","","","","","",""
"1199","","","","make","easy","","scoring","champ","","assist","champ","","","","","","","star","never","missed","playoffs","highest","scoring","","ever","","harden","chance","making","playoffs","","season"
"1200","still","made","","left","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1201","shiftykaii's","season","","","champion","","","","","first","team","","","defensive","team","","","star","first","ever","star","game","","","","","","","","","",""
"1202","","","showing","kyrie","talked","","","that’s","point","","","sleep","","","","","","","","","","","","","","","","","","","",""
"1203","","time","kyrie","sitting","","","","website","","","sports","illustrated","website","","","analyst","talkin","bout","that’s","talked","","candidate","point","jump","","","","","","","",""
"1204","","considered","","right","","writers","whole","point","talked","","number","","","talked","","higher","curry","curry","","talked","","candidate","last","year","","make","make","sense","","","",""
"1205","mmaxwelljr","mark","words","","","best","","odds","","","","candidate","season","","","","","","","","","","","","","","","","","","",""
"1206","hqvertz","","","","nbamemes","","","","context","nash","","russ","assist","titles","russ","","first","teams","much","value","scoring","","","","","","","","","","",""
"1207","deep","","","options","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1208","champion","","nets","","","dpoy","davis","","rudy","","","","","","","","","","","","","","","","","","","","","","",""
"1209","true","false","prime","larry","bird","","","suited","season","bird","player","","history","average","","","","five","different","seasons","","","three","years","","larry","legend","","","","",""
"1210","","awards","predictions","","kevin","durant","roty","jalen","green","dpoy","giannis","","","shai","gilgeous","alexander","","jordan","clarkson","coty","steve","nash","","","","","","","","","",""
"1211","","nevapoppin","thetyjager","sure","well","said","parker","","allstar","","","finals","","","something","ignore","either","","","","","","","","","","","","","","",""
"1212","","kevin","durant","dpoy","giannis","improved","jordan","poole","","cade","cunningham","","year","tyler","herro","","champs","lakers","","","","","","","","","","","","","",""
"1213","begin","series","","previews","look","southwest","division","loung_s","","","","","","","","","","","","","","","","","","","","","","","",""
"1214","bronhistory","kingjames","bron","","finals","","despite","","broom","","","","","","","","","","","","","","","","","","","","","","",""
"1215","aj_smg","reigning","","greatest","shooting","backcourt","","history","lebron","averaged","series","tried","best","","everyone","involved","truth","noone","create","shot","hater","","folded","jordan","","swept","bird","folded","","","",""
"1216","allen","iverson’s","underrated","season","","asts","career","high","rebs","stls","","","first","team","","","","voting","scoring","champion","","","","","","","","","","","",""
"1217","cabinesport","campeões","","","nets","oeste","warriors","leste","nets","","curry","rookie","scottie","barnes","","","","","","","","","","","","","","","","","",""
"1218","roger","younger","brother","","mbah","moute","trained","alongside","curry","","league","assignment","early","even","managed","","valuable","time","time","","","dubnation","warriors","","","","","","","","",""
"1219","episode","","week","recap","crazy","week","college","football","mlbplayoffs","","predictions","","season","preview","","finals","predictions","","update","","","","","","","","","","","","",""
"1220","","move","drose","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1221","","award","predictions","","jokic","","","","bones","hyland","roty","bones","hyland","dpoy","aaron","gordon","coty","michael","malone","","","","","","","","","","","","",""
"1222","final","","predictions","","dame","dpoy","","","melo","","jalen","green","","melo","coty","frank","vogel","","","","","","","","","","","","","","",""
"1223","excellent","article","early","life","struggles","deal","proof","whatever","dealing","whatever's","stopping","life","always","light","","tunnel","inspiration","","","","","vbjwqyjxsp","","","","","","","","","",""
"1224","final","","predictions","","jokic","dpoy","simmons","","tyler","herro","","jalen","green","","","coty","steve","kerr","","","","","","","","","","","","","",""
"1225","fired","","preview","betting","roundtable","samdcooper","gregbrainos","","betmgm","future","bets","considered","talking","","","","","","","","","","","","","","","","","","",""
"1226","annual","bold","","predictions","","dame","embiid","","roty","jalen","green","davion","mitchell","","","kevin","porter","","spencer","dinwiddie","","dpoy","myles","turner","gets","snubbed","annually","","","jordan","clarkson","coty"
"1227","rick","carlisle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1228","join","celtics","nation","greeting","","","champion","","","finals","","","","star","","","paul","pierce","happy","","birthday","","","","","","","","","","",""
"1229","emeplbc","","","stally_d","bill","russell","played","teams","years","also","beat","oscar","west","","baylor","wilt","","playoff","","multiple","times","fmvp","dpoy","around","","","atleast","","dpoy","fmvp","seasons",""
"1230","","goat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1231","","lethal","scorers","history","basketball","time","","star","time","","finals","","","","","redefined","","footer","","play","matter","live","matter","cheer","","impact","game","undeniable","","","",""
"1232","qslpjhstgh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1233","","","champs","utah","jazz","finals","","donovan","mitchell","","luka","doncic","roty","jalen","green","dpoy","anthony","davis","","","derrick","rose","","michael","porter","","","","","","",""
"1234","","champion","","nets","finals","","","","","","saison","doncic","roty","jalen","green","dpoy","gobert","","","","","","","","","","","","","","",""
"1235","","","kingjames","wanna","","tatum","take","leaps","bounds","forward","","","","","","","","","","","","","","","","","","","","","",""
"1236","bucks","sweep","","awards","season","","dpoy","","","award","winners","team","","","","","teams","reason","","","","","","","","","","","","","",""
"1237","champions","conf","ouest","warriors","champions","","warriors","champions","conf","ouest","nets","","curry","","cade","cunningham","dpoy","gobert","","poole","","poole","","thibodeau","","","","","","","",""
"1238","","","many","players","","","lead","different","","teams","finals","","","","","","","","","","","","","","","","","","","","",""
"1239","","","lmao","shaq","clearly","better","that’s","scoring","champ","","finals","","","first","team","bozo","","","","","","","","","","","","","","","",""
"1240","palpites","","","clubismo","campeões:dallas","mvp:luka","doncic","","eugene","omoruyi","","","porzingis","coach","year:jason","kidd","","","","","","","","","","","","","","","",""
"1241","happy","birthday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1242","frostybias","remember","well","return","court","part","forgot","","return","segment","","maybe","","time","","drama","scale","","","","","","","","","","","","","","",""
"1243","","josheberley","absurdly","","went","greatest","offensive","runs","","history","finished","","","","lead","league","scoring","","assists","time","context","currys","year","last","","","passed","rebounded","scored","","","every"
"1244","","span","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1245","join","","wishing","happy","","birthday","","nbaallstar","","champion","","finals","","","inductee","paul","pierce","nbabday","","","","","","","","","","","","","",""
"1246","","","warriors","playing","like","","literally","","","","","","","","","","","","","","","","","","","","","","","","",""
"1247","kbsgoat","","","award","whatever","finally","start","handing","best","player","","quit","redefining","meaning","every","years","least","create","separate","trophy","give","best","effin","player","actually","talk","something","","","","",""
"1248","josheberley","just","think","","talking","peaks","","discussing","individuals","","","hold","weight","","award","","","","","","","","","","","","","","","","",""
"1249","","","champions:gsw","improved","team:bulls","mvp:curry","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1250","","season","","first","team","season","joelembiid","","","","","","","","","","","","","","","","","","","","","","","","",""
"1251","","ygbuckets","","rdimal","kellanolson","literally","nobody","league","","guard","giannis","lmao","people","acting","like","losing","","","team","player","","","thing","","","","","","","","",""
"1252","year","","finally","wins","","","mavsnation","","","","","","","","","","","","","","","","","","","","","","","","",""
"1253","saying","brodie","triple","doubles","year","clip","come","playoff","time","","average","least","game","boards","dimes","point","performance","","","russell","westbrook","bookit","","","","","","","","","",""
"1254","","raptors","happy","birthday","yuta","real","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1255","___lance__","shaq","","number","","","awards","kareem","jordan","lebron","wilt","magic","bird","duncan","shaq","kobe","number","finals","","awards","jordan","lebron","shaq","magic","duncan","wilt","kareem","bird","kobe","","",""
"1256","","morant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1257","","doesn’t","need","learn","shoot","look","giannis","","terrible","shooter","","time","","defensive","player","year","","champion","finals","","shooting","soft","","bitches","","","","","","","",""
"1258","wednesday","morning","","","yxzpyvudue","week","","","week","ncaaf","game","previews","","picks","","preseason","lines","","futures","game","parlays","check","finalizing","bets","","","","","","","",""
"1259","","award","predictions","","giannis","","jalen","green","dpoy","","","patty","mills","","jaren","jackson","","","erik","spoelstra","","","","","","","","","","","",""
"1260","","","unsold","","","","year","went","multiple","","finals","","title","","rudy’s","resume","says","shot","blocker","","","","","","","","","","","","",""
"1261","hoodiebev","hanahoops","drguru_","","sites","curry","least","likely","","","every","upcoming","year","lmao","","","trust","","","","","","","","","","","","","","",""
"1262","happy","birthday","boston","legend","","champ","finals","","truth","paul","pierce","","","","","","","","","","","","","","","","","","","","",""
"1263","","","champ","chicago","bulls","","finals","lavine","season","","","roty","jalen","green","dpoy","rudy","gobert","","","herro","","alex","caruso","","","","","","","","",""
"1264","year","","today","lakers","tied","celtics","","","lebron","","","finals","","","","finals","","different","teams","","dwight","","dudley","","","title","rondo","became","","player","","title"
"1265","lakers","","celtics","","","lckpzjfewg","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1266","","","truth","","twice","","varsity","basketball","team","ended","becoming","","champion","finals","","","star","franchise","leader","","","","hall","famer","retired","jayhawks","","celtics","","","",""
"1267","years","","today","magic","johnson","","","","","","","debut","rookie","resume","","","","","","","","","playoffs","triple","double","leader","star","finals","","champion","",""
"1268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1269","","derrick","rose","wasn’t","even","","player","","","","","","","","","","","","","","","","","","","","","","","","",""
"1270","","champion","","finals","","","star","","three","point","champion","retired","celtics","kuhoops","fibawc","","","scorer","","happy","birthday","","truth","","","pomuqtvkzi","","","","","",""
"1271","paul","pierce","turns","today","","tournament","","retired","kuhoops","retired","celtics","","champ","finals","","star","","court","","launching","truth","branded","edibles","cannabis","strain","deals","nike","","","truth","",""
"1272","","warriors","poole","future","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1273","","roty","final","picks","team","made","predictions","","awards","season","give","read","","","","","","","","","","","","","","","","","","","",""
"1274","happy","","birthday","paul","pierce","","champion","","finals","","","time","","star","","three","point","shootout","champion","retired","celtics","truth","","","","","","","","","",""
"1275","","","champion","","lakers","improved","team","","boston","","kevin","durant","","","","","","","","","","","","","","","","","","","",""
"1276","giannis","","","champion","","finals","","","","","star","","","","","first","team","","second","team","","dpoy","","defensive","first","team","","defensive","second","team","","improved"
"1277","player","","talked","enough","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
